,hour,minute,second,azimuth,elevation,power
2016-11-23 16:01:41,0.8421052631578947,0.01694915254237288,0.6949152542372882,0.7,0.6666666666666666,
2016-11-23 16:01:46,0.8421052631578947,0.01694915254237288,0.7796610169491526,0.7,0.8333333333333334,
2016-11-23 16:01:51,0.8421052631578947,0.01694915254237288,0.864406779661017,0.7,1.0,
2016-11-23 16:01:56,0.8421052631578947,0.01694915254237288,0.9491525423728814,0.8,0.0,
2016-11-23 16:02:01,0.8421052631578947,0.03389830508474576,0.01694915254237288,0.8,0.16666666666666666,
2016-11-23 16:02:06,0.8421052631578947,0.03389830508474576,0.1016949152542373,0.8,0.3333333333333333,
2016-11-23 16:02:11,0.8421052631578947,0.03389830508474576,0.1864406779661017,0.8,0.5,
2016-11-23 16:02:16,0.8421052631578947,0.03389830508474576,0.2711864406779661,0.8,0.6666666666666666,
2016-11-23 16:02:21,0.8421052631578947,0.03389830508474576,0.3559322033898305,0.8,0.8333333333333334,
2016-11-23 16:02:26,0.8421052631578947,0.03389830508474576,0.4406779661016949,0.8,1.0,
2016-11-23 16:02:31,0.8421052631578947,0.03389830508474576,0.5254237288135594,0.9,0.0,
2016-11-23 16:02:36,0.8421052631578947,0.03389830508474576,0.6101694915254238,0.9,0.16666666666666666,
2016-11-23 16:02:41,0.8421052631578947,0.03389830508474576,0.6949152542372882,0.9,0.3333333333333333,
2016-11-23 16:02:46,0.8421052631578947,0.03389830508474576,0.7796610169491526,0.9,0.5,
2016-11-23 16:02:51,0.8421052631578947,0.03389830508474576,0.864406779661017,0.9,0.6666666666666666,
2016-11-23 16:02:56,0.8421052631578947,0.03389830508474576,0.9491525423728814,0.9,0.8333333333333334,
2016-11-23 16:03:01,0.8421052631578947,0.05084745762711865,0.01694915254237288,0.9,1.0,
2016-11-23 16:03:06,0.8421052631578947,0.05084745762711865,0.1016949152542373,1.0,0.0,
2016-11-23 16:03:11,0.8421052631578947,0.05084745762711865,0.1864406779661017,1.0,0.16666666666666666,
2016-11-23 16:03:16,0.8421052631578947,0.05084745762711865,0.2711864406779661,1.0,0.3333333333333333,
2016-11-23 16:03:21,0.8421052631578947,0.05084745762711865,0.3559322033898305,1.0,0.5,
2016-11-23 16:03:26,0.8421052631578947,0.05084745762711865,0.4406779661016949,1.0,0.6666666666666666,
2016-11-23 16:03:31,0.8421052631578947,0.05084745762711865,0.5254237288135594,1.0,0.8333333333333334,
2016-11-23 16:03:36,0.8421052631578947,0.05084745762711865,0.6101694915254238,1.0,1.0,
2016-11-23 16:03:41,0.8421052631578947,0.05084745762711865,0.6949152542372882,0.0,0.0,
2016-11-23 16:03:46,0.8421052631578947,0.05084745762711865,0.7796610169491526,0.0,0.16666666666666666,
2016-11-23 16:03:51,0.8421052631578947,0.05084745762711865,0.864406779661017,0.0,0.3333333333333333,
2016-11-23 16:03:56,0.8421052631578947,0.05084745762711865,0.9491525423728814,0.0,0.5,
2016-11-23 16:04:01,0.8421052631578947,0.06779661016949153,0.01694915254237288,0.0,0.6666666666666666,
2016-11-23 16:04:06,0.8421052631578947,0.06779661016949153,0.1016949152542373,0.0,0.8333333333333334,
2016-11-23 16:04:11,0.8421052631578947,0.06779661016949153,0.1864406779661017,0.0,1.0,
2016-11-23 16:04:16,0.8421052631578947,0.06779661016949153,0.2711864406779661,0.1,0.0,
2016-11-23 16:04:21,0.8421052631578947,0.06779661016949153,0.3559322033898305,0.1,0.16666666666666666,
2016-11-23 16:04:26,0.8421052631578947,0.06779661016949153,0.4406779661016949,0.1,0.3333333333333333,
2016-11-23 16:04:31,0.8421052631578947,0.06779661016949153,0.5254237288135594,0.1,0.5,
2016-11-23 16:04:36,0.8421052631578947,0.06779661016949153,0.6101694915254238,0.1,0.6666666666666666,
2016-11-23 16:04:41,0.8421052631578947,0.06779661016949153,0.6949152542372882,0.1,0.8333333333333334,
2016-11-23 16:04:46,0.8421052631578947,0.06779661016949153,0.7796610169491526,0.1,1.0,
2016-11-23 16:04:51,0.8421052631578947,0.06779661016949153,0.864406779661017,0.2,0.0,
2016-11-23 16:04:56,0.8421052631578947,0.06779661016949153,0.9491525423728814,0.2,0.16666666666666666,
2016-11-23 16:05:01,0.8421052631578947,0.0847457627118644,0.01694915254237288,0.2,0.3333333333333333,
2016-11-23 16:05:06,0.8421052631578947,0.0847457627118644,0.1016949152542373,0.2,0.5,
2016-11-23 16:05:11,0.8421052631578947,0.0847457627118644,0.1864406779661017,0.2,0.6666666666666666,
2016-11-23 16:05:16,0.8421052631578947,0.0847457627118644,0.2711864406779661,0.2,0.8333333333333334,
2016-11-23 16:05:21,0.8421052631578947,0.0847457627118644,0.3559322033898305,0.2,1.0,
2016-11-23 16:05:26,0.8421052631578947,0.0847457627118644,0.4406779661016949,0.3,0.0,
2016-11-23 16:05:31,0.8421052631578947,0.0847457627118644,0.5254237288135594,0.3,0.16666666666666666,
2016-11-23 16:05:36,0.8421052631578947,0.0847457627118644,0.6101694915254238,0.3,0.3333333333333333,
2016-11-23 16:05:41,0.8421052631578947,0.0847457627118644,0.6949152542372882,0.3,0.5,
2016-11-23 16:05:46,0.8421052631578947,0.0847457627118644,0.7796610169491526,0.3,0.6666666666666666,
2016-11-23 16:05:51,0.8421052631578947,0.0847457627118644,0.864406779661017,0.3,0.8333333333333334,
2016-11-23 16:05:56,0.8421052631578947,0.0847457627118644,0.9491525423728814,0.3,1.0,
2016-11-23 16:06:01,0.8421052631578947,0.1016949152542373,0.01694915254237288,0.4,0.0,
2016-11-23 16:06:06,0.8421052631578947,0.1016949152542373,0.1016949152542373,0.4,0.16666666666666666,
2016-11-23 16:06:11,0.8421052631578947,0.1016949152542373,0.1864406779661017,0.4,0.3333333333333333,
2016-11-23 16:06:16,0.8421052631578947,0.1016949152542373,0.2711864406779661,0.4,0.5,
2016-11-23 16:06:21,0.8421052631578947,0.1016949152542373,0.3559322033898305,0.4,0.6666666666666666,
2016-11-23 16:06:26,0.8421052631578947,0.1016949152542373,0.4406779661016949,0.4,0.8333333333333334,
2016-11-23 16:06:31,0.8421052631578947,0.1016949152542373,0.5254237288135594,0.4,1.0,
2016-11-23 16:06:36,0.8421052631578947,0.1016949152542373,0.6101694915254238,0.5,0.0,
2016-11-23 16:06:41,0.8421052631578947,0.1016949152542373,0.6949152542372882,0.5,0.16666666666666666,
2016-11-23 16:06:46,0.8421052631578947,0.1016949152542373,0.7796610169491526,0.5,0.3333333333333333,
2016-11-23 16:06:51,0.8421052631578947,0.1016949152542373,0.864406779661017,0.5,0.5,
