hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
11,47,21,126,90,257
11,47,24,144,0,243
11,47,29,144,15,263
11,47,32,144,30,281
11,47,35,144,45,287
11,47,38,144,60,285
11,47,41,144,75,267
11,47,44,144,90,243
11,47,47,162,0,155
11,47,52,162,15,154
11,47,55,162,30,173
11,47,58,162,45,194
11,48,1,162,60,210
11,48,4,162,75,219
11,48,7,162,90,224
11,48,10,180,0,146
11,48,15,180,15,129
11,48,18,180,30,106
11,48,21,180,45,109
11,48,24,180,60,142
11,48,27,180,75,182
11,48,30,180,90,217
11,53,45,0,0,235
11,53,49,0,15,265
11,53,52,0,30,292
11,53,55,0,45,301
11,53,58,0,60,302
11,54,1,0,75,287
11,54,4,0,90,264
11,54,7,18,0,333
11,54,12,18,15,348
11,54,15,18,30,350
11,54,18,18,45,348
11,54,21,18,60,344
11,54,24,18,75,324
11,54,27,18,90,279
11,54,30,36,0,360
11,54,35,36,15,366
11,54,38,36,30,368
11,54,41,36,45,363
11,54,44,36,60,358
11,54,47,36,75,342
11,54,50,36,90,289
11,54,53,54,0,369
11,54,58,54,15,375
11,55,1,54,30,376
11,55,4,54,45,372
11,55,7,54,60,363
11,55,10,54,75,345
11,55,13,54,90,292
11,55,16,72,0,374
11,55,21,72,15,378
11,55,24,72,30,377
11,55,27,72,45,374
11,55,30,72,60,365
11,55,33,72,75,348
11,55,36,72,90,287
11,55,39,90,0,372
11,55,44,90,15,375
11,55,47,90,30,376
11,55,50,90,45,373
11,55,53,90,60,363
11,55,56,90,75,341
11,55,59,90,90,283
11,56,2,108,0,364
11,56,6,108,15,365
11,56,9,108,30,368
11,56,12,108,45,364
11,56,15,108,60,356
11,56,18,108,75,334
11,56,21,108,90,274
11,56,24,126,0,340
11,56,29,126,15,346
11,56,32,126,30,352
11,56,35,126,45,345
11,56,38,126,60,338
11,56,41,126,75,314
11,56,44,126,90,264
11,56,47,144,0,262
11,56,52,144,15,286
11,56,55,144,30,304
11,56,58,144,45,311
11,57,1,144,60,304
11,57,4,144,75,281
11,57,7,144,90,251
11,57,10,162,0,159
11,57,15,162,15,169
11,57,18,162,30,193
11,57,21,162,45,216
11,57,24,162,60,232
11,57,27,162,75,236
11,57,30,162,90,234
11,57,33,180,0,150
11,57,38,180,15,130
11,57,41,180,30,107
11,57,44,180,45,122
11,57,47,180,60,156
11,57,50,180,75,191
11,57,53,180,90,220
12,3,8,0,0,224
12,3,12,0,15,256
12,3,15,0,30,283
12,3,18,0,45,297
12,3,21,0,60,300
12,3,24,0,75,288
12,3,27,0,90,268
12,3,30,18,0,334
12,3,35,18,15,344
12,3,38,18,30,348
12,3,41,18,45,347
12,3,44,18,60,341
12,3,47,18,75,326
12,3,50,18,90,282
12,3,53,36,0,363
12,3,58,36,15,367
12,4,1,36,30,369
12,4,4,36,45,363
12,4,7,36,60,358
12,4,10,36,75,341
12,4,13,36,90,288
12,4,16,54,0,371
12,4,21,54,15,372
12,4,24,54,30,374
12,4,27,54,45,369
12,4,30,54,60,364
12,4,33,54,75,347
12,4,36,54,90,290
12,4,39,72,0,377
12,4,44,72,15,378
12,4,47,72,30,378
12,4,50,72,45,371
12,4,53,72,60,366
12,4,56,72,75,344
12,4,59,72,90,287
12,5,2,90,0,372
12,5,7,90,15,371
12,5,10,90,30,374
12,5,13,90,45,367
12,5,16,90,60,362
12,5,19,90,75,341
12,5,22,90,90,283
12,5,25,108,0,360
12,5,30,108,15,367
12,5,33,108,30,368
12,5,36,108,45,363
12,5,39,108,60,356
12,5,42,108,75,334
12,5,45,108,90,277
12,5,48,126,0,345
12,5,53,126,15,351
12,5,56,126,30,351
12,5,59,126,45,348
12,6,2,126,60,339
12,6,5,126,75,318
12,6,8,126,90,266
12,6,11,144,0,272
12,6,15,144,15,295
12,6,18,144,30,312
12,6,21,144,45,314
12,6,24,144,60,312
12,6,27,144,75,288
12,6,30,144,90,257
12,6,33,162,0,169
12,6,38,162,15,186
12,6,41,162,30,214
12,6,44,162,45,235
12,6,47,162,60,248
12,6,50,162,75,250
12,6,53,162,90,245
12,6,56,180,0,153
12,7,1,180,15,133
12,7,4,180,30,117
12,7,7,180,45,142
12,7,10,180,60,175
12,7,13,180,75,206
12,7,16,180,90,229
12,12,31,0,0,116
12,12,35,0,15,132
12,12,38,0,30,152
12,12,41,0,45,163
12,12,44,0,60,171
12,12,47,0,75,170
12,12,50,0,90,163
12,12,53,18,0,209
12,12,58,18,15,227
12,13,1,18,30,240
12,13,4,18,45,237
12,13,7,18,60,230
12,13,10,18,75,212
12,13,13,18,90,189
12,13,16,36,0,311
